Comment,Actual_Sentiment,Cleaned_Comment
ତୁମର ମିଡ଼ିଆ ବାଲେ କର୍ ଲାଗି ବିଜେପିର ନେତା ଠିକାଦାର ମାନେ ଉଫୁଲୁଛନ ।,neutral,ତୁମର ମିଡ଼ିଆ ବାଲେ କର୍ ଲାଗି ବିଜେପିର ନେତା ଠିକାଦାର ମାନେ ଉଫୁଲୁଛନ
iqoo 13 is goat,neutral,iqoo goat
Sameer is crazy,neutral,sameer crazy
Fitness endi ta swamy....dokku scorpio lo tirigina roujulu unnai...this is new fortuner,neutral,fitness endi swamydokku scorpio tirigina roujulu unnaithis new fortuner
"Dmk va meendum atchi amaikka dmk vin ethir votai prikka admk NTK pjb pmk vin votai pirikka ,makkalaiyum rasigarkalaiyum muttalakka kilambittar",neutral,dmk meendum atchi amaikka dmk vin ethir votai prikka admk ntk pjb pmk vin votai pirikka makkalaiyum rasigarkalaiyum muttalakka kilambittar
"Please, kinhi ko isme dikhaye gaye CAR GAME ka name pata ho to bataiye .",neutral,please kinhi isme dikhaye gaye car game name pata bataiye
E hindu hudugirige buddi Ella e ge bidi hena agoudu e muslim loper ende ogodu bidi hena agodu,neutral,hindu hudugirige buddi ella bidi hena agoudu muslim loper ende ogodu bidi hena agodu
Ee janmalo ysrcp 😂😂😂😂😂😂😂 jail kosam laggage package chaskondi,positive,janmalo ysrcp 😂😂😂😂😂😂😂 jail kosam laggage package chaskondi
Kaunasi jilare nuhen ta bhauni biaare kichhita banda sahit kichhita pela bi kuti habar sambhabana achhi,neutral,kaunasi jilare nuhen bhauni biaare kichhita banda sahit kichhita pela kuti habar sambhabana achhi
"Lgta h acting ka dhnda achha nhi chl rha
 To shifting YouTube me kr di 😂😂",positive,lgta acting dhnda achha nhi chl rha shifting youtube
baijayanta panda jagi mangat panda fir jail fasi very soon otv odisha reporter cbi ed raid very soon fake pm fake president public khulasa lajya entire fake bjp criminal bjd sex racket biju gangster hajar jail fasi hajar cbi investigation officer require,negative,baijayanta panda jagi mangat panda fir jail fasi soon otv odisha reporter cbi raid soon fake fake president public khulasa lajya entire fake bjp criminal bjd sex racket biju gangster hajar jail fasi hajar cbi investigation officer require
Nahin Gaye,neutral,nahin gaye
Aaj to maza aa gaya sir bahut sukun mila dil ko,neutral,aaj maza gaya sir bahut sukun mila dil
Jar baper thik nai se ki bole banglake ses korli ma chele,neutral,jar baper thik nai bole banglake s korli chele
How many chicken killed you people for this drama😀,negative,many chicken killed people drama😀
Madan sparrow shoot die pahi sollu,negative,madan sparrow shoot die pahi sollu
Mfs saying the rap was cool really shows the standards Indian audiences have fallen to KI an actual spoof rap is good to their badshah fucked ears,negative,mf saying rap cool really show standard indian audience fallen actual spoof rap good badshah fucked ear
Testy ❤,positive,testy
Master.plan.murder.idu,neutral,masterplanmurderidu
Useless YouTube channel,negative,useless youtube channel
Idey asti kosam champinchindi denni lopala eyali,neutral,idey asti kosam champinchindi denni lopala eyali
കേരളത്തിൽ ലഹരി വില്പനനിരോധിച്ചു കൂടെ എന്തുകൊണ്ടാണ് നിരോധിക്കാത്തതു് എന്ന് ജനങ്ങൾ ചിന്തിച്ചിട്ടുണ്ടോ സർക്കാർ ജീവനക്കാർക്കും മന്ത്രിമാർക്കും MLA മാർ ക്കും വരെ ശബള o ലഭിക്കുന്നത് കേരളത്തിലെ ലഹരി വില്പന കൊണ്ടാണ്😂,positive,കേരളത്തിൽ ലഹരി വില്പനനിരോധിച്ചു കൂടെ എന്തുകൊണ്ടാണ് നിരോധിക്കാത്തതു് എന്ന് ജനങ്ങൾ ചിന്തിച്ചിട്ടുണ്ടോ സർക്കാർ ജീവനക്കാർക്കും മന്ത്രിമാർക്കും mla മാർ ക്കും വരെ ശബള ലഭിക്കുന്നത് കേരളത്തിലെ ലഹരി വില്പന കൊണ്ടാണ്😂
"Instagram alli ondu chill club anta group ede alli ede tara muslim hudugru hindu hudgiranna balege hakkola plan madtidare , nowadays instagram annodu worst agide",negative,instagram alli ondu chill club anta group ede alli ede tara muslim hudugru hindu hudgiranna balege hakkola plan madtidare nowadays instagram annodu worst agide
"ಗುರು ನೀನು ಮೊದಲು ಜನ ನ scold madodu bidu, e celebration ge ಯಾವುದೇ ಮುಂಜಾಗ್ರತಾ ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳದೇ permission ಕೊಟ್ಟಿದ್ದು ಯಾರು ಅವರಿಗೆ ugiri. ಸಾಮಾನ್ಯ ಜನರಿಗೆ ಎನ್ ಕನಸು ಬಿದ್ದಿತ್ತ.",negative,ಗುರು ನೀನು ಮೊದಲು scold madodu bidu celebration ಯಾವುದೇ ಮುಂಜಾಗ್ರತಾ ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳದೇ permission ಕೊಟ್ಟಿದ್ದು ಯಾರು ಅವರಿಗೆ ugiri ಸಾಮಾನ್ಯ ಜನರಿಗೆ ಎನ್ ಕನಸು ಬಿದ್ದಿತ್ತ
😂😂😂 wtf,positive,😂😂😂 wtf
"Physical abuse and sexual abuse but the judiciary system only gives life sentence considering those gud for nothing men have political influence they will be kept in the upper hierarchy in the jail.
 Really thooku dhandanai is necessary in these cases but innocents could die and that's not how it should be.. Like in one case where an innocent died cuz he was accused of r@ping and k8lling a school girl and given thooku thandanai sentence but later the evidence directed towards the victim's own mother😐
 I feel guilty even thinking about it 
 Why is it so difficult damn it!!!?",negative,physical abuse sexual abuse judiciary system give life sentence considering gud nothing men political influence kept upper hierarchy jail really thooku dhandanai necessary case innocent could die thats like one case innocent died cuz accused rping klling school girl given thooku thandanai sentence later evidence directed towards victim mother😐 feel guilty even thinking difficult damn
Ukraine ke saath aisa he hona chahiye.... Kis traha se Ukraine ne Humare hindu goddess ka Majak banaya tha bhul gaye??...,neutral,ukraine saath aisa hona chahiye ki traha ukraine humare hindu goddess majak banaya tha bhul gaye
Tayi anno padake avamana madidale ee bevarsi.... Swarthake moolane hennu annodu matte prove aitu,neutral,tayi anno padake avamana madidale bevarsi swarthake moolane hennu annodu matte prove aitu
Isha is so annoying.....ikkesss,positive,isha annoyingikkesss
AICC leader Kharge 😂. Shame shame Kharge,negative,aicc leader kharge shame shame kharge
Bosdi maga psycho sulle maga thuu .,neutral,bosdi maga psycho sulle maga thuu
Neeku pilalu kavalantea dani pelli chesukovachu gaa raa babu vadimi chapadam endhuku raa,neutral,neeku pilalu kavalantea dani pelli chesukovachu gaa raa babu vadimi chapadam endhuku raa
"Boeing is not well
 It takes you to hell",negative,boeing well take hell
"Ye guruji nahi tahe ab sala farsi bolta hai 
 Adi bat bolega adhi nahi bolega 
 Sale tu ek do miliyan vala hi thik tha",neutral,guruji nahi tahe sala farsi bolta hai adi bat bolega adhi nahi bolega sale miliyan vala thik tha
Inta worst people ekada chudaledu,negative,inta worst people ekada chudaledu
"Ei bhai ,toder tmc dol ta agami 5 bochor thakle to ei banglay tmc jara kore tara chara r keu bachbe na, keu bache na thakle toder vote dabe k ??? 50 bochor to onek durer kotha.",neutral,bhai toder tmc dol agami bochor thakle banglay tmc jara kore tara chara keu bachbe keu bache thakle toder vote dabe bochor onek durer kotha
Yaaru bomb pottalum baadhika padura dhu peoples dhaana 😢🥹💔,negative,yaaru bomb pottalum baadhika padura dhu people dhaana 😢🥹💔
Tor amma muslim choda tui tar chele,neutral,tor amma muslim choda tui tar chele
Who is that black sheeps Bro that's they doing 🤔🥵,neutral,black sheep bro thats
Hindu muslim kra desh tar khoti hocche............r dekha jacche na.,neutral,hindu muslim kra desh tar khoti hoccher dekha jacche
Wtf is this,negative,wtf
No use of degree guys 😅😅😅 don't be happy if you get 90% it is just a piece of shit 😂😂😂,positive,use degree guy 😅😅😅 dont happy get piece shit 😂😂😂
AU. TRA. KAN. ACHHI. TATE. RAPE. KARIBE,negative,tra kan achhi tate rape karibe
Wtf 👁️👄👁️,negative,wtf 👁️👄👁️
Ap സമസ്ത അങ്ങനെ ഒന്ന് ഇല്ല 6ആളുകൾ ഇറങ്ങി പോയി അപ്പോൾ കേസ് ജയിക്കാൻ മേനോൻ പറഞ്ഞു നിങ്ങളും ഒരു സമസ്ത ഉണ്ടാക്കണം അങ്ങനെ ഉണ്ടായതാണ് മേനോൻ സമസ്ത 😅,positive,സമസ്ത അങ്ങനെ ഒന്ന് ഇല്ല ആളുകൾ ഇറങ്ങി പോയി അപ്പോൾ കേസ് ജയിക്കാൻ മേനോൻ പറഞ്ഞു നിങ്ങളും ഒരു സമസ്ത ഉണ്ടാക്കണം അങ്ങനെ ഉണ്ടായതാണ് മേനോൻ സമസ്ത
Nanu e kathe kelilla vodilla...entha beversi kathegalu pl hakbedi...Ammanna choplinali....parkeynali hodiri...entha kachada kathe nodi makalu kedodu,neutral,nanu kathe kelilla vodillaentha beversi kathegalu hakbediammanna choplinaliparkeynali hodirientha kachada kathe nodi makalu kedodu
Shree yellamma devi krupa ashirvada namma makkalu mommakalu sose aliyarigirali udo udo yella thayi amma,neutral,shree yellamma devi krupa ashirvada namma makkalu mommakalu sose aliyarigirali udo udo yella thayi amma
"Ensaan apni end ka khud jimedar hai
 Jis chiz ki jrurat nhi uspe crore spend krta hai hai
 Aur meaningful chijo pe nhi krta 
 Pr nature se bda kuch bhi nhi hai
 Aur Geeta mai bhi likha hai jub mnushy apni manv shkti
 Se adhik pane ki kosish krega tab 
 Uska anat nischit hai
 Aur muje khushi hai
 Ki nature jub chahe apni raksha ke liye kuch bhi kr skti hai namaste 🙏",neutral,ensaan apni end khud jimedar hai ji chiz jrurat nhi uspe crore spend krta hai hai aur meaningful chijo nhi krta nature bda kuch bhi nhi hai aur geeta mai bhi likha hai jub mnushy apni manv shkti adhik pane kosish krega tab uska anat nischit hai aur muje khushi hai nature jub chahe apni raksha liye kuch bhi skti hai namaste
"Hey Stupid, you didn't have to embed mistreatment of a maid in a ""Kannada class!"" Did you think it is funny? It's not and it makes all Kannadigas and Indians look very bad on the world stage.😠 --American Kannadiga",negative,hey stupid didnt embed mistreatment maid kannada class think funny make kannadigas indian look bad world stage😠 american kannadiga
Kanhi kanha Bhai nku nelu s piyush bhai nku nely bhala hella,neutral,kanhi kanha bhai nku nelu piyush bhai nku nely bhala hella
gulf change to big uncle fat,neutral,gulf change big uncle fat
Thanks jug jug. Boba ZANOER..O vakto. O councillors..dhandabaz. Selfishnes..0 🌍 judha. LIARJUG..galgal galgal galgal. Including.family 0 healp. ZANOER 0❤,positive,thanks jug jug boba zanoero vakto councillorsdhandabaz selfishnes judha liarjuggalgal galgal galgal includingfamily healp zanoer
Ellindaloo badavaru nam neladalliye nammanna gulaamarannaagi maadkondidruu andre entaa durantaa alvaa 😮😮😮😮evaagaa naavestu punatvantaruu antaa ansutte❤❤❤❤❤,positive,ellindaloo badavaru nam neladalliye nammanna gulaamarannaagi maadkondidruu andre entaa durantaa alvaa 😮😮😮😮evaagaa naavestu punatvantaruu antaa ansutte❤❤❤❤❤
Sangikale ith up alla keralam aaanu ivde njgal parayum neeyokke ath kelkkum😂😂😂😂😂illel vitto gujrathilott,positive,sangikale ith alla keralam aaanu ivde njgal parayum neeyokke ath kelkkum😂😂😂😂😂illel vitto gujrathilott
"avide mathramalla ella private schoolsum ithupolokke thanneya.trsnu melulla pressure bhayankarama.trsne kondu pattipaniya eduppikkunne . etnikku suicide cheyyanpolum thonnikkunna anubhavangal schoolinte bhagathu niñnum undayittundu.pakshe njanathu cheythilla karanam njan marichal nashttam enikku mathram evarkkonnum onnum sambhavikkilla .
 evanteyokke kalkeezil pattipani edukkunnathinekkal chummathe veetil irunnal manasamadhanamenkilum kittum",negative,avide mathramalla ella private schoolsum ithupolokke thanneyatrsnu melulla pressure bhayankaramatrsne kondu pattipaniya eduppikkunne etnikku suicide cheyyanpolum thonnikkunna anubhavangal schoolinte bhagathu niñnum undayittundupakshe njanathu cheythilla karanam njan marichal nashttam enikku mathram evarkkonnum onnum sambhavikkilla evanteyokke kalkeezil pattipani edukkunnathinekkal chummathe veetil irunnal manasamadhanamenkilum kittum
Bhai ke sapne to pure Ho Gaye hamare kab honge😢,negative,bhai sapne pure gaye hamare kab honge😢
"Ha bhai aagar jo school ya college se nhi jura hai unko kaise samkja sakte hai 
 Sarkar unko fashi ya goli kyu nhi mar deti",neutral,bhai aagar school college nhi jura hai unko kaise samkja sakte hai sarkar unko fashi goli kyu nhi mar deti
ಅವಳು ಗರ್ಭಿಣಿ ಗರ್ಭಿಣಿ ಅಂತ ಹೊಟ್ಟೆ ಯಾಕೆ ತೋರಿಸುತ್ತೀರಿ. ಅದನ್ನ ಒಂದು ಸಲ ಎರಡು ಸಲ ಪರವಾಗಿಲ್ಲ. ಪ್ರತಿವೊಂದು ಸಲ ಅಸ್ಸಯ್ಯ ಬರತ್ತೆ. ದಯವಿಟ್ಟು avoid ಮಾಡಿ. ಈ ತರಹ ಅಸ್ಸಯ್ಯವಾಗಿ ಗರ್ಭಿಣಿ ಅಂತ ಪ್ರತಿ ಸಲ ಹೊಟ್ಟೆ ತೋರಿಸಿ ನೀವು ಈ ಕತೆ marketting ಮಾಡುತ್ತೀರ? Shameless.,negative,ಅವಳು ಗರ್ಭಿಣಿ ಗರ್ಭಿಣಿ ಅಂತ ಹೊಟ್ಟೆ ಯಾಕೆ ತೋರಿಸುತ್ತೀರಿ ಅದನ್ನ ಒಂದು ಎರಡು ಪರವಾಗಿಲ್ಲ ಪ್ರತಿವೊಂದು ಅಸ್ಸಯ್ಯ ಬರತ್ತೆ ದಯವಿಟ್ಟು avoid ಮಾಡಿ ತರಹ ಅಸ್ಸಯ್ಯವಾಗಿ ಗರ್ಭಿಣಿ ಅಂತ ಪ್ರತಿ ಹೊಟ್ಟೆ ತೋರಿಸಿ ನೀವು ಕತೆ marketting ಮಾಡುತ್ತೀರ shameless
Intha dost tumbaiddare ivarannu hudukuvabuddi erabeku hendati yayigyate tilkindu irabeku inthavaru bahal mandi iddare,neutral,intha dost tumbaiddare ivarannu hudukuvabuddi erabeku hendati yayigyate tilkindu irabeku inthavaru bahal mandi iddare
Pottaiga ivalavu nadakuthu thadukama bottle vanguranuga pottaiga savuga da dog la,neutral,pottaiga ivalavu nadakuthu thadukama bottle vanguranuga pottaiga savuga dog
Fullayi thoorkkande sirs?? Pinnu thookkunnu kerallame ninneyokke,neutral,fullayi thoorkkande sir pinnu thookkunnu kerallame ninneyokke
Nada tu cumpleaños indianos sabes nada cumpleaños ajajja😂😂😂😂,positive,nada cumpleaños indianos sabes nada cumpleaños ajajja😂😂😂😂
Chii mg nija gf ku marei Abe tharo partana karuchu,neutral,chii nija marei abe tharo partana karuchu
WAYANAD IS THE LIVING PLACE FOR NATIVE PEOPLE. OUTSIDERS OCCUPIED ALMOST ALL WAYANAD WITHOUT ANY RESPECT FOR THE NATURE. REAL ESTATE and HOTEL BUSINESS DESTROYED WAYANAD. GREEDY will face destruction. wait and see.,negative,wayanad living place native people outsider occupied almost wayanad without respect nature real estate hotel business destroyed wayanad greedy face destruction wait see
Kar kar cartoon dekte valo lage like koro plece,positive,kar kar cartoon dekte valo lage like koro plece
Avan Avan oru ponna keduthu seralikiranuka avanala viturunga ellarukum thandanai kodurama kodunga 😡apo than vera entha dogum pannathu 😡,neutral,avan avan oru ponna keduthu seralikiranuka avanala viturunga ellarukum thandanai kodurama kodunga 😡apo vera entha dogum pannathu
",Inthaha Samratara bagge yake namma patyadalli ullekavilla.Namma chritrege Moghalare Bekitha.Enthaha Anyaya.",neutral,inthaha samratara bagge yake namma patyadalli ullekavillanamma chritrege moghalare bekithaenthaha anyaya
ķkkiiiitttttnnnnaaaaa bbbbeeeeeaaaaauuuuutttttiiiiffffffuuuuulll hai,neutral,ķkkiiiitttttnnnnaaaaa bbbbeeeeeaaaaauuuuutttttiiiiffffffuuuuulll hai
Superstitious like you bro,positive,superstitious like bro
Eni എങ്കിലും എന്റെ പൊന്നു ജനങ്ങളെ മനസ്സിൽ ആക്കു ഇനി ആരെ ജയിപ്പിച്ചു വിടണം എന്ന്. അഖിൽ മാരാർ ആണ് ശെരി എന്ന് ഇപ്പോൾ തോനുന്നു അന്ന് അദ്ദേഹം പറഞ്ഞത് ആണ് gvnmt ഇന് പിരിവ് പയ്‌സ കൊടുക്കാതെ അവിടെ ഉള്ളവർക്കു നേരിട്ട് പോയ്‌ പയ്‌സ കൊടുക്കാം എന്ന് കേട്ടില്ല ഇപ്പോൾ അനുഭവിക്കുന്നത് അവിടെ ഉള്ള പാവം മനുഷ്യർ 🙏🏻😔. Eni എങ്കിലും ഒന്ന് കണ്ണ് തുറക്കു ente പൊന്ന് സർക്കാർ ഏയ് 🙏🏻,neutral,eni എങ്കിലും എന്റെ പൊന്നു ജനങ്ങളെ മനസ്സിൽ ആക്കു ഇനി ആരെ ജയിപ്പിച്ചു വിടണം എന്ന് അഖിൽ മാരാർ ആണ് ശെരി എന്ന് ഇപ്പോൾ തോനുന്നു അന്ന് അദ്ദേഹം പറഞ്ഞത് ആണ് gvnmt ഇന് പിരിവ് പയ്‌സ കൊടുക്കാതെ അവിടെ ഉള്ളവർക്കു നേരിട്ട് പോയ്‌ പയ്‌സ കൊടുക്കാം എന്ന് കേട്ടില്ല ഇപ്പോൾ അനുഭവിക്കുന്നത് അവിടെ ഉള്ള പാവം മനുഷ്യർ 🙏🏻😔 eni എങ്കിലും ഒന്ന് കണ്ണ് തുറക്കു ente പൊന്ന് സർക്കാർ ഏയ്
"If life is a marathon, then whoever will die first he will win. Does it mean we should die now? 😂",neutral,life marathon whoever die first win mean die
Enna broo thapana WRK enna solluga,neutral,enna broo thapana wrk enna solluga
Drunker,neutral,drunker
Israel come on you can do it❤🎉🎊,positive,israel come it❤🎉🎊
"Ama ithukkum bjb rss tha karannma apdinu vanthuruvanuinga intha sangees,avinga hindi mattum padichiruntha ippa epty anga poirukka mutiyum,ithuku ethum answer panna mattaninga intha sangees,",neutral,ama ithukkum bjb rss tha karannma apdinu vanthuruvanuinga intha sangeesavinga hindi mattum padichiruntha ippa epty anga poirukka mutiyumithuku ethum answer panna mattaninga intha sangees
"Sab veshia o ka bharva ban kar veshia o satha dekar duniya valo ko tu or teri rundi ya bana rahi hai veshe iss maa ko banane Gaye ho ,jisha din uss ki lathi paregi na tere sare bhav tujhe yaad aa jayege ,",negative,sab veshia bharva ban kar veshia satha dekar duniya valo teri rundi bana rahi hai veshe iss maa banane gaye jisha din us lathi paregi tere sare bhav tujhe yaad jayege
